2023-09-19 14:18:48,773 - DEBUG - Testing 100 pairs of random ints.
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 8, 12
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 11, 47
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 22, 95
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 86, 40
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 33, 78
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 28, 78
2023-09-19 14:18:48,773 - DEBUG - Random Numbers: 5, 75
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 88, 21
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 56, 82
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 51, 93
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 66, 48
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 70, 57
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 65, 35
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 5, 4
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 47, 60
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 41, 49
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 55, 68
2023-09-19 14:18:48,774 - DEBUG - Random Numbers: 22, 72
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 23, 31
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 30, 4
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 23, 42
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 23, 18
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 66, 66
2023-09-19 14:18:48,775 - INFO - Identical Numbers Found: 66, 66
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 47, 66
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 87, 72
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 24, 58
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 54, 95
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 68, 98
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 47, 76
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 46, 47
2023-09-19 14:18:48,775 - DEBUG - Random Numbers: 58, 21
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 97, 52
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 92, 95
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 60, 84
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 68, 32
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 63, 36
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 64, 65
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 66, 46
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 85, 59
2023-09-19 14:18:48,776 - DEBUG - Random Numbers: 60, 45
